Comb,growthRate,minProd,maxProd,combList,ACALD,ALCD2x,GLCabcpp,GND,HEX1,LDH_D,PFL,PFK,PYK,TKT2
"ALCD2x, PFL, PFK",0.189214056431647,0.0627176292963574,0.062747781732917,"['ALCD2x', 'PFL', 'PFK']",0,1,0,0,0,0,1,1,0,0
"ALCD2x, PFL, PYK",0.189214056431711,0.0627176292963574,0.0627477817191405,"['ALCD2x', 'PFL', 'PYK']",0,1,0,0,0,0,1,0,1,0
"ALCD2x, PFL, TKT2",0.183109211168397,0.0606941078690918,1.41479565544963,"['ALCD2x', 'PFL', 'TKT2']",0,1,0,0,0,0,1,0,0,1
"ALCD2x, PFK, PYK",0.194807480315161,0.0645716400338993,0.0645994277044876,"['ALCD2x', 'PFK', 'PYK']",0,1,0,0,0,0,0,1,1,0
"ALCD2x, PFK, TKT2",0.191601956884083,0.0635091321818422,0.063529142382759,"['ALCD2x', 'PFK', 'TKT2']",0,1,0,0,0,0,0,1,0,1
"ALCD2x, PYK, TKT2",0.191601956884254,0.0635091321818907,0.0635291423540888,"['ALCD2x', 'PYK', 'TKT2']",0,1,0,0,0,0,0,0,1,1
"GLCabcpp, GND, HEX1",0.241501557097227,0.0800490531961495,0.0800559410596996,"['GLCabcpp', 'GND', 'HEX1']",0,0,1,1,1,0,0,0,0,0
"GLCabcpp, GND, LDH_D",0.241501557097133,0.0800490531961995,0.0800559410477513,"['GLCabcpp', 'GND', 'LDH_D']",0,0,1,1,0,1,0,0,0,0
"GLCabcpp, GND, PFL",0.189214056431775,0.0627176292963266,0.0627477818510025,"['GLCabcpp', 'GND', 'PFL']",0,0,1,1,0,0,1,0,0,0
"GLCabcpp, GND, PFK",0.241501557097106,0.080049053196259,0.0800559410905845,"['GLCabcpp', 'GND', 'PFK']",0,0,1,1,0,0,0,1,0,0
"GLCabcpp, GND, PYK",0.241501557097198,0.0800490531962802,0.0800559411003858,"['GLCabcpp', 'GND', 'PYK']",0,0,1,1,0,0,0,0,1,0
"GLCabcpp, GND, TKT2",,0.0,0.0,"['GLCabcpp', 'GND', 'TKT2']",0,0,1,1,0,0,0,0,0,1
"GLCabcpp, HEX1, LDH_D",0.241501557097229,0.0800490531962105,0.0800559410474328,"['GLCabcpp', 'HEX1', 'LDH_D']",0,0,1,0,1,1,0,0,0,0
