comb
"('PFL',)"
"('RPI',)"
"('TKT2',)"
"('RPE',)"
"('TALA',)"
"('ALCD2x',)"
"('LDH_D',)"
"('ACALD',)"
"('TKT1',)"
"('ACONTa',)"
"('PFL', 'RPI')"
"('PFL', 'TKT2')"
"('PFL', 'RPE')"
"('TKT2', 'ALCD2x', 'LDH_D', 'TKT1')"
"('TKT2', 'ALCD2x', 'LDH_D', 'ACONTa')"
"('TKT2', 'ALCD2x', 'ACALD', 'TKT1')"
"('TKT2', 'ALCD2x', 'ACALD', 'ACONTa')"
"('TKT2', 'ALCD2x', 'TKT1', 'ACONTa')"
"('TKT2', 'LDH_D', 'ACALD', 'TKT1')"
"('TKT2', 'LDH_D', 'ACALD', 'ACONTa')"
"('TKT2', 'LDH_D', 'TKT1', 'ACONTa')"
"('TKT2', 'ACALD', 'TKT1', 'ACONTa')"
"('RPE', 'TALA', 'ALCD2x', 'LDH_D')"
"('RPE', 'TALA', 'ALCD2x', 'ACALD')"
"('RPE', 'TALA', 'ALCD2x', 'TKT1')"
"('RPE', 'TALA', 'ALCD2x', 'ACONTa')"
"('RPE', 'TALA', 'LDH_D', 'ACALD')"
"('RPE', 'TALA', 'LDH_D', 'TKT1')"
"('RPE', 'TALA', 'LDH_D', 'ACONTa')"
"('RPE', 'TALA', 'ACALD', 'TKT1')"
"('RPE', 'TALA', 'ACALD', 'ACONTa')"
"('RPE', 'TALA', 'TKT1', 'ACONTa')"
"('RPE', 'ALCD2x', 'LDH_D', 'ACALD')"
"('RPE', 'ALCD2x', 'LDH_D', 'TKT1')"
"('RPE', 'ALCD2x', 'LDH_D', 'ACONTa')"
"('RPE', 'ALCD2x', 'ACALD', 'TKT1')"
"('RPE', 'ALCD2x', 'ACALD', 'ACONTa')"
"('RPE', 'ALCD2x', 'TKT1', 'ACONTa')"
"('RPE', 'LDH_D', 'ACALD', 'TKT1')"
"('RPE', 'LDH_D', 'ACALD', 'ACONTa')"
"('RPE', 'LDH_D', 'TKT1', 'ACONTa')"
"('RPE', 'ACALD', 'TKT1', 'ACONTa')"
"('TALA', 'ALCD2x', 'LDH_D', 'ACALD')"
"('TALA', 'ALCD2x', 'LDH_D', 'TKT1')"
"('TALA', 'ALCD2x', 'LDH_D', 'ACONTa')"
"('TALA', 'ALCD2x', 'ACALD', 'TKT1')"
"('TALA', 'ALCD2x', 'ACALD', 'ACONTa')"
"('TALA', 'ALCD2x', 'TKT1', 'ACONTa')"
"('TALA', 'LDH_D', 'ACALD', 'TKT1')"
"('TALA', 'LDH_D', 'ACALD', 'ACONTa')"
"('TALA', 'LDH_D', 'TKT1', 'ACONTa')"
"('TALA', 'ACALD', 'TKT1', 'ACONTa')"
"('ALCD2x', 'LDH_D', 'ACALD', 'TKT1')"
"('ALCD2x', 'LDH_D', 'ACALD', 'ACONTa')"
"('ALCD2x', 'LDH_D', 'TKT1', 'ACONTa')"
"('ALCD2x', 'ACALD', 'TKT1', 'ACONTa')"
"('LDH_D', 'ACALD', 'TKT1', 'ACONTa')"
"('PFL', 'RPI', 'TKT2', 'RPE', 'TALA')"
"('PFL', 'RPI', 'TKT2', 'RPE', 'ALCD2x')"
"('PFL', 'RPI', 'TKT2', 'RPE', 'LDH_D')"
"('PFL', 'RPI', 'TKT2', 'RPE', 'ACALD')"
"('PFL', 'RPI', 'TKT2', 'RPE', 'TKT1')"
"('PFL', 'RPI', 'TKT2', 'RPE', 'ACONTa')"
"('PFL', 'RPI', 'TKT2', 'TALA', 'ALCD2x')"
